Key,Type,Desc,English
forbidden_resource,0,,Forbidden
error_no_possible_path,0,,Can't find path to <object>!
error_autoforbid_message,0,,<object>: is forbidden as there is no path to it
forbidden_structure_info,0,,"This structure is <LinkAlmanac=""Tutorialforbid"">forbidden</link>. Settlers won't interact with it unless allowed. Allow this structure by clicking 'allow' or by using the allow order."
forbidden_resource_info,0,,"This resource pile is <LinkAlmanac=""Tutorialforbid"">forbidden</link>. Settlers won't interact with it unless allowed. Allow this resource by clicking 'allow' or by using the allow order."
forbidden_shelf_info,0,,"Stocking resources here is <LinkAlmanac=""Tutorialforbid"">forbidden</link>. Settlers won't leave or take resources unless allowed. Allow its use by clicking 'allow' or by using the allow order."
armor_damage,0,,Armour damage
armor_hitpoints_percentage,0,,Armour Hitpoints Percentage
armor_rating,0,,Armour rating
attack_duration,0,,Attack Duration
banish_worker_confirm,0,,Banishing this settler will have a negative impact on the rest of your settlers. Are you sure you want to proceed?
base_damage,0,,Equipped weapon damage
base_range,0,,Equipped weapon range
base_yield_peak,0,,Base yield at peak
base_yeald_ripe,0,,Base yield when ripe
base_yeald_phase,0,,Base yield in this phase
body_armor,0,,Body Armour
building_damage,0,,Building Damage
building_error_not_reachable,0,,Building can't be reached
building_error_no_resources,0,,Not enough allowed resources
building_error_no_skilled_construction_worker,0,,No settler with necessary construction skills available
building_phase_0,0,,BLUEPRINT
building_phase_1,0,,Blueprint phase
building_phase_2,0,,Building phase
cover_amount,0,,Cover amount
ranged_cover_amount,0,,Ranged Cover amount
melee_cover_amount,0,,Melee Cover amount
cover_percentage,0,,Cover Effectiveness
crop_freeze_temperature,0,,Plant death temperature
crop_grow_time,0,,Grow time
crop_grow_life_span,0,,Life span
crop_stop_temperature,0,,Growth stop temperature
crop_min_sow_temperature,0,,Minimum sow temperature
damage,0,,Damage
damage_per_second,0,,Damage Per Second
damage_per_second_ab,0,,DPS
dead,0,,Dead
dig_resource_health,0,,Hitpoints
durability,0,,Durability
effect_reason_attribute_decomposespeed,0,,Decaying because of
effect_reason_attribute_rottingspeed,0,,Rotting because of
effect_reason_ground,0,,Ground type
effect_reason_temperature,0,,Temperature
high_temperature,0,,High Temperature
effect_reason_time_decomposespeed,0,,"Pile <LinkAlmanac=""Systemdecomposition"">decomposes</link> in"
effect_reason_time_rottingspeed,0,,"Pile <LinkAlmanac=""Systemdecomposition"">rots</link> in"
effect_reason_weather,0,,Unroofed
end_position,0,,End position
free_spaces,0,,Free spaces
game_name,0,,Going Medieval
general_Celsius,0,,Celsius
general_Fahrenheit,0,,Fahrenheit
general_Kelvin,0,,Kelvin
general_accept,0,,Accept
general_attack,0,,Attack
general_autosave_frequency,0,,Autosave every (days)
general_autumn,0,,Autumn
general_xp,0,,XP
general_back,0,,Back
general_back_almanac,0,,Previous
general_next_alamanc,0,,Next
general_base_value,0,,Attribute base value
general_blocked,0,,Slot blocked
general_cancel,0,,Cancel
general_close,0,,Close
general_clothes,0,,Clothes
general_consume,0,,Consume
general_drink,0,,Drink
general_copy,0,,Copy
general_damage,0,,Base damage
general_day,0,,day
general_days,0,,days
general_deliver,0,,Deliver ammunition
general_description,0,,Desc
general_drop,0,,Drop item
general_edit,0,,Edit
general_effects,0,,Effects
general_empty,0,,Empty
general_enemy,0,,Enemy
general_equip,0,,Equip
general_finish,0,,Finish
general_headware,0,,Headware
general_info,0,,Info
general_item_slot_body,0,,Clothing item slot
general_item_slot_bodyarmor,0,,Body armour item slot
general_item_slot_head,0,,Head item slot
general_item_slot_lefthand,0,,Left hand item slot
general_item_slot_righthand,0,,Right hand item slot
general_lock_camera,0,,Jump to
general_max_temperature,0,,Maximum comfortable temperature
general_maxLevel,0,,Maximum
general_min_temperature,0,,Minimum comfortable temperature
general_next,0,,Next
general_no,0,,No
general_of,0,,of
general_ok,0,,OK
general_operate,0,,Operate
general_overcast,0,,Overcast
general_paste,0,,Paste
general_paste_all,0,,Paste All
general_paste_selected,0,,Paste Selected
general_requirements,0,,Requirements
general_reset,0,,Reset
general_skill_level_up,0,,skill is now level
general_spring,0,,Spring
general_summer,0,,Summer
general_symbol_Celsius,0,,°C
general_symbol_Fahrenheit,0,,°F
general_symbol_Kelvin,0,,°K
general_temperature,0,,Temperature
general_temperature_units,0,,Temperature units
general_to,0,,to
general_unlocks,0,,Unlocks
general_villager,0,,Settler
general_winter,0,,Winter
general_yes,0,,Yes
global_position,0,,Global position
growth_halted,0,,Growth halted
head_armor,0,,Head armour
hour_type_any_name,0,,Anything
hour_type_tooltip_convalescing,0,,Will prioritise convalescing even if the task is disabled in the jobs panel
hour_type_tooltip_sleeping,0,,Sleeping is disabled at this hour
hour_type_tooltip_work,0,,Will prioritise jobs as they are set in the jobs panel
hour_type_tooltip_role,0,,Will perform role duties before everything else
hour_type_tooltip_leisure,0,,Will prioritise leisure activities even if not deprived of them
hour_type_tooltip_anything,0,,"Will prioritise meeting own needs. Once satisfied, will do jobs."
hour_type_tooltip_sleep,0,,Will prioritise sleeping above almost anything else.
hour_type_tooltip_nosleep,0,,Will never sleep at this hour
hour_type_draft_name,0,,Drafted
hour_type_leisure_name,0,,Leisure
hour_type_psychotic_name,0,,Broken
hour_type_sleep_name,0,,Sleep
hour_type_working_name,0,,Work
hour_type_caravan_name,0,,Forming Caravan
hour_type_role_job_name,0,,Role Duties
hud_info_area,0,,Creates a stockpile where your settlers will store resources.
hud_info_hide_roof,0,,Hide roof elements in order to see inside.
hud_info_hide_room,0,,Show overlay of rooms detected.
hud_info_jobs,0,,Choose which job will each settler do.
hud_info_layer_down,0,,View one layer down.
hud_info_layer_up,0,,View one layer up.
hud_info_layer_additional,0,,"\nUse [<style=Shortcut>Ctrl</style>] + [<style=Shortcut>Mouse wheel</style>] to quickly move through layers.\nUse [<style=Shortcut>Ctrl</style>] + <sprite=""ctrl_left_click"" index=t> on any object or the ground to jump to that layer."
hud_info_camera_commands,0,,Show camera controls
hud_info_lock_camera_target_layer,0,,Lock camera target to current layer
hud_info_camera_layer_up,0,,Camera lock layer up
hud_info_camera_layer_additional,0,,\nUse [<style=Shortcut>Shift</style>] + [<style=Shortcut>Mouse wheel</style>] to change what <style=DefaultBlue>layers</style> the camera is locked to.
hud_info_camera_layer_down,0,,Camera lock layer down
menu_action_scroll_wheel_camera_layer,0,,While holding [<style=Shortcut>Shift</style>]\n Use <style=Shortcut>Mouse wheel</style> to change what <style=DefaultBlue>layers</style> the camera is locked to
camera_locked,0,,Camera target is now locked to layer <layer_number>
camera_unlocked,0,,Camera is no longer height locked
hud_info_order_allow,0,,Select piles to allow/forbid settlers from using them.
hud_lb_order_UrgentHaul,0,,Urgent Haul
hud_info_order_UrgentHaul,0,,Mark piles and items needing to be hauled urgently
hud_info_order_cancel,0,,Cancel given orders.
hud_info_order_chopping,0,,Designate trees to be chopped down.
hud_info_order_cleaning,0,,PH Description
hud_info_order_clearall,0,,"Designate all objects to be chopped, cut or mined."
hud_info_order_createcrops,0,,Create plant growing area.
hud_info_order_cutallvegetation,0,,Designate plants to be cut down.
hud_info_order_cutting,0,,Designate area of vegetation to be cut down and harvested.
hud_info_order_deconstructing,0,,Mark buildings for deconstruction.
hud_info_order_digging,0,,Mark areas of terrain to be mined.
hud_info_order_tame,0,,Mark animals for your settlers to domesticate.
hud_info_order_train,0,,Mark animals for your settlers to train as pets.
hud_info_order_slaughter,0,,Mark animals for slaughter.
hud_info_order_release,0,,Mark animals to be set free. (They will become wild animals and roam around the map.)
hud_info_order_harvesting,0,,Designate plants to be harvested.
hud_info_order_hunting,0,,Mark animals for your hunters to target.
hud_info_order_minevoxel,0,,Dig deeper into the ground.
hud_info_order_mining,0,,"Designate rock, iron and clay deposits to be mined."
hud_info_orders,0,,Order that you can give your settlers.
hud_info_pause,0,,Pause the game.
hud_info_report,0,,"Help us out by sending us bug reports, requests, or general comments. A serf may well read them."
hud_info_research,0,,Choose what to unlock with your accumulated knowledge.
hud_info_resources,0,,List of all the resources that are currently in stockpiles.
hud_info_schedule,0,,Set up settlers' daily routine.
hud_info_speed_01,0,,Game speed normal
hud_info_speed_02,0,,Game speed X2
hud_info_speed_03,0,,Game speed X5
hud_lb_Almanac,0,,Almanac
hud_lb_area,0,,Stockpile
hud_lb_jobs,0,,Jobs
hud_lb_world,0,,Region
hud_info_world,0,,View region map and neighbouring settlements.
hud_lb_view_region,0,,View Region
hud_lb_view_map,0,,View Map
hud_lb_map,0,,Map Preview
hud_lb_order_allow,0,,Allow
hud_lb_order_cancel,0,,Cancel
hud_lb_order_chopping,0,,Chop
hud_lb_order_cleaning,0,,Clean
hud_lb_order_createcrops,0,,Plant crops
hud_lb_order_cutallvegetation,0,,Cut plants
hud_lb_order_cutting,0,,Cut
hud_lb_order_deconstructing,0,,Deconstruct
hud_lb_order_digging,0,,Mine
hud_lb_order_harvesting,0,,Harvest
hud_lb_order_hunting,0,,Hunt
hud_lb_order_minevoxel,0,,Dig 
hud_lb_order_mining,0,,Mine
hud_lb_orders,0,,Orders
hud_lb_orders_all,0,,Orders
hud_lb_pile,0,,Pile
hud_lb_report,0,,Report bugs or send feedback.
hud_lb_report_title,0,,Report
report_bug_tnx_sending,0,,Thank you for your feedback! You can continue playing while the report is being sent.
hud_lb_research,0,,Research
hud_lb_resources,0,,Resource
hud_lb_schedule,0,,Schedule
ignores_armor,0,,Armour penetration
in_draft,0,,Drafted
inside,0,,Inside
low_temperature,0,,Low temperature
max_stack,0,,Max stack
max_yield_in,0,,Maximum yield in
menu_accessories,0,,Accessories
menu_allow_all,0,,Allow All
menu_allow_all_prod_info,0,,Allow all resources to be used in the production of this product
menu_allow_all_stock_info,0,,Allow all resources to be stockpiled here
menu_background,0,,Background
menu_Individual,0,,Individual
menu_background_01,0,,Background #1
menu_background_02,0,,Background #2
menu_backstory,0,,Backstory
menu_base,0,,Base
menu_leisure,0,,Leisure
menu_cancel_production,0,,Cancel production
production_no_allowed_resources,0,,No allowed resources
production_no_resources,0,,Not enough resources
menu_clear,0,,Clear
menu_clear_all,0,,Clear All
menu_clear_all_prod_info,0,,Clear the list of resources allowed for the production of this product
menu_clear_all_stock_info,0,,Clear all resources from the allowed list
menu_click_to_jump,0,,"(<sprite=""ctrl_left_click"" index=t> to jump to location)"
menu_completion,0,,Completion
menu_construction,0,,Construction
menu_cropfield_size,0,,Cropfield size
menu_decoration,0,,Misc
menu_decoration_old,0,,Decoration
menu_decrease_count,0,,Decrease Count
menu_decrease_priority,0,,Decrease priority
menu_delete,0,,Delete
menu_edit_production,0,,Edit Production
menu_equipment,0,,Equipment
menu_floor,0,,Floor
menu_furniture,0,,Furniture
menu_hunger,0,,Food
menu_increase_count,0,,Increase Count
menu_increase_priority,0,,Increase Priority
menu_misc,0,,Misc
menu_nearby_furniture,0,,Nearby furniture
menu_nutrition,0,,Nutrition
menu_pause_production,0,,Pause production
menu_perks,0,,Perks
menu_produced,0,,Resource Produced
menu_production,0,,Production
menu_production_queue,0,,Production queue
menu_products,0,,Products
menu_pseudonym,0,,Pseudonym
menu_quality,0,,Quality
menu_recipe,0,,Resource Needed
menu_roof,0,,Roof
menu_rot,0,,Fresh
menu_skills,0,,Skills
menu_stockplie_size,0,,Stockpile Size
menu_storage,0,,Storage Amount
menu_value,0,,Value
menu_defense,0,,Warfare
menu_x10,0,,"Hold down [<style=Shortcut>Control</style>] & <sprite=""ctrl_left_click"" index=t> <b>x10</b> "
menu_x100,0,,"Hold down [<style=Shortcut>Shift</style>] & <sprite=""ctrl_left_click"" index=t> <b>x100</b> "
menu_zone,0,,Zone
multiselect_panel,0,,Multiple selection
needed_skills,0,,Required skill
no_active_productions,0,,No active production
outside,0,,Outside
outsideFog,0,,Outside in the fog
outsideRain,0,,Outside in the rain
outsideSnow,0,,Outside in the snow
precision,0,,Precision
precision_weapon,0,,Equiped weapon precision
precision_falloff,0,,Precision falloff with distance
priority_down,0,,Decrease all
priority_up,0,,Increase all
production_amount,0,,Amount
production_forever,0,,Forever
production_until,0,,Until you have
production_amount_info,0,,"""Amount"" production mode will queue production of a given number of finished items."
production_forever_info,0,,"""Forever"" production mode will continuously queue production while there are sufficient raw material for that product."
production_until_info,0,,"""Until you have"" production mode will continue to create items until the desired number is reached."
production_until_info_books,0,,"""Until you have"" production mode for books will continue until the set number of unallocated books is reached. (Books already allocated to research are no longer available)"
production_idle,0,,Production idle
production_paused,0,,Production paused
production_resource_select_desc,0,,Choose what resources are allowed for this product
production_skill,0,,Cant produce: skill level not met
production_target_reached,0,,Production target number reached
production_speed,0,,Production speed
range,0,,Range
research_allocated,0,,Allocated
research_allocated_info,0,,Amount used up for unlocked researches. 
research_available,0,,Available
research_available_info,0,,The amount available for unlocking new researches. 
research_available_info_negative,0,,"The available amount is negative, this means that your knowledge books have been lost. You will need to obtain the same amount again before you start unlocking new researches."
resource_categories,0,,Resource categories
roofed,0,,Under the roof
select_crop,0,,Select Crop
select_variant,0,,Select variant
skill_needed,0,,Skill needed
skill_requirements,0,,Item skill requirements
stability_link,0,,"<LinkAlmanac=""Systemstability"">Stability</link>"
start_position,0,,Start position
storage,0,,Storage
menu_food_pouch,0,,Pouch
total_spaces,0,,Total spaces
trebuchet_has_agent,0,,Someone is operating this trebuchet
trebuchet_no_agent,0,,No one is operating this trebuchet
two_handed,0,,Two handed
used_spaces,0,,Used spaces
weapon_and_modifiers,0,,Weapon and modifiers
weather_clear,0,,Clear
weather_fog,0,,Fog
weather_rain,0,,Rain
weather_snow,0,,Snow
weather_thunderstorm,0,,Thunderstorm
weather_hailstorm,0,,Hailstorm
weather_heat_wave,0,,Heat wave
weather_cold_snap,0,,Cold snap
building_info_resources_needed,0,,Resources Needed
menu_add_new,0,,Add new
add_new_profile_info,0,,Add custom profile
delete_profile,0,,Delete profile
research_available_error,0,,Not enough books available
research_allocated_info_negative,0,,"You are missing some required books, which means that they have been lost. You will need to replace them to unlock new research items."
info_position,0,,Position
info_walk_speed,0,,Traversal speed
info_room,0,,Inside room
info_natural_slope,0,,Slope
info_stability,0,,Stability
undrafted_stance,0,,Undrafted Stance
auto_equip_weapon,0,,Manage Weapon
auto_equip_weapon_info,0,,Set autoequip weapon for each settler
auto_equip_shield,0,,Manage Shield
auto_equip_shield_info,0,,Set autoequip shield for each settler
auto_equip_headware,0,,Manage Headgear
auto_equip_headware_info,0,,Set autoequip headgear for each settler
auto_equip_apparel,0,,Manage Apparel
auto_equip_apparel_info,0,,Set autoequip clothing for each settler
auto_equip_armor,0,,Manage Armour
auto_equip_armor_info,0,,Set autoequip armour for each settler
restrict_food,0,,Manage Food
restrict_food_info,0,,Set what type of food each settler is allowed to consume
restrict_stimulants,0,,Manage Stimulants
restrict_stimulants_info,0,,Set what type of stimulants each settler is allowed to consume
profile,0,,Profile
edit_Weapons_profiles,0,,Edit Weapon Profiles
edit_Shields_profiles,0,,Edit Shield Profiles
edit_Headware_profiles,0,,Edit Headgear Profiles
edit_Armor_profiles,0,,Edit Armour Profiles
edit_Apparel_profiles,0,,Edit Apparel Profiles
edit_Food_profiles,0,,Edit Food Profiles
edit_Alcohol_profiles,0,,Edit Alcohol Profiles
manageDefaultPreset_weapon_shield_all,0,,All Weapons
manageDefaultPreset_weapon_shield_none,0,,No Weapons
manageDefaultPreset_weapon_shield_melee_onehanded,0,,Melee One-handed
manageDefaultPreset_weapon_shield_melee_twohanded,0,,Melee Two-handed
manageDefaultPreset_weapon_shield_ranged,0,,Ranged
manageDefaultPreset_weapon_shield_melee_onehanded_shield,0,,Melee One-handed + Shields
manageDefaultPreset_apparel_clothing_only,0,,Clothing Only
manageDefaultPreset_weapon_all,0,,All Weapons
manageDefaultPreset_weapon_none,0,,No Weapons
manageDefaultPreset_weapon_melee_onehanded,0,,Melee One-handed
manageDefaultPreset_weapon_melee_twohanded,0,,Melee Two-handed
manageDefaultPreset_weapon_ranged,0,,Ranged
manageDefaultPreset_shield_all,0,,All Shields
manageDefaultPreset_sheild_none,0,,No Shields
manageDefaultPreset_headware_all,0,,All Headgear
manageDefaultPreset_headware_none,0,,No Headgear
manageDefaultPreset_headware_helmet,0,,Helmet
manageDefaultPreset_headware_cap,0,,Cap
manageDefaultPreset_armor_all,0,,All Armour
manageDefaultPreset_armor_none,0,,No Armour
manageDefaultPreset_apparel_all,0,,All Apparel
manageDefaultPreset_apparel_none,0,,No Apparel
manageDefaultPreset_apparel_winter,0,,Winter
manageDefaultPreset_apparel_summer,0,,Summer
manageDefaultPreset_food_all,0,,All Food
manageDefaultPreset_food_none,0,,No Food
manageDefaultPreset_food_raw,0,,Raw
manageDefaultPreset_food_meal,0,,Meal
manageDefaultPreset_food_cannibal,0,,Cannibal
manageDefaultPreset_stimulants_all,0,,All Stimulants
manageDefaultPreset_stimulants_none,0,,No Stimulants
auto_equipped,0,,Auto-equipped
manually_equipped,0,,Force-equipped
object_size,0,,Structure Dimensions
has_stability_to_build,0,,Is connected to a stable structure
hud_info_hide_zoneGrid,0,,Show coloured grid overlay for zones.
resource_group_FoodStimulants,0,,Stimulants
action_ToggleForbid,0,,Toggle allow/forbid
action_ToggleUrgent,0,,Toggle Urgent haul
thermal_insulation,0,,Thermal insulation
thermal_emission,0,,Heat output
room_types_legend,0,,Room Types Legend
historical_records_title,0,,Historical Records
statistics_title,0,,Statistics
history_title,0,,History
PopulationCount_title,0,,Population Count
ResourceWealth_title,0,,Resources Value
BuildingWealth_title,0,,Buildings Value
TotalWealth_title,0,,Total Wealth
FoodAmount_title,0,,Food Stored
MoodAverage_title,0,,Settler Mood
PopulationCount_info,0,,Number of settlers through time
ResourceWealth_info,0,,Combined value of all resources through time
BuildingWealth_info,0,,Combined value of all buildings through time
TotalWealth_info,0,,Combined value of resources and buildings through time
FoodAmount_info,0,,Combined nutrition stockpile amount through time
MoodAverage_info,0,,Average mood through time
play_time,0,,Play time
days_from_start,0,,Days from start
lost_villagers,0,,Lost settlers
max_villagers,0,,Max settlers
raids_won,0,,Raids won
raids_lost,0,,Raids lost
enemies_killed,0,,Enemies killed
enemies_total,0,,Enemies total
villagers_died,0,,Settlers lost
buildings_destroyed,0,,Buildings destroyed
enemy_buildings_destroyed,0,,Buildings destroyed
raid_time,0,,Raid duration
most_damage_delt,0,,Greatest damage dealt by
worker_banish_event_log_type,0,,Settler Banished
worker_banish_event_log_title,0,,The Banishment of <name>
worker_banish_event_log_info,0,,<name> was banished. [He/She] was last seen going towards <origin>
worker_died_event_log_type,0,,Settler Died
worker_died_event_log_title,0,,The Death of <name> <surname>
worker_died_event_log_info,0,,<name> died aged <age>...
max_yield_time,0,,Maximum yield in
number_of_harvests,0,,Number of harvests
hud_info_show_beauty_heatmap,0,,Show aesthetic heatmap.
hud_info_hide_trees,0,,Hide tree tops.
hud_info_hide_item_indicator,0,,Show item indicators.
hud_info_resource_groups,0,,Group resources in Resource Panel.
ctrl_ShowHideTrees,0,,Trees: Show/Hide
ctrl_ShowHideItemIndicators,0,,Item Indicators: Show/Hide
ctrl_ShowHideResourceGroups,0,,Resource Groups: Show/Hide
keycode_DoubleQuote,0,,""""
keycode_LeftParen,0,,(
keycode_RightParen,0,,)
world_map_forest_bandits,0,,Forest bandits
world_map_progeny,0,,Progeny
ui_region_influence,0,,Region influence
preset_name_weapon_melee_twohanded,0,,Two-handed
info_panel_wealth,0,,Value
village_yours,0,,Your settlement
village_enemy,0,,Enemy settlement
village_friendly,0,,Friendly settlement
InfluenceAmount_title,0,,Influence
InfluenceAmount_info,0,,"As your settlement grows, so does your influence in the region.\n\nTo gain influence, you must enrich your wealth by amassing resources and constructing buildings.\nVictory in battle and repelling enemy raids increases your influence even faster.\n\nReaching 100% influence means your settlement is the most influential in the region."
hud_lb_Manage,0,,Manage
hud_info_Manage,0,,Manage what your settlers auto-equip and consume.
hud_lb_HistoricRecords,0,,Historical Records
hud_info_HistoricRecords,0,,View statistic and historical records of your settlement.
list_at_least,0,,At least
list_at_exactly,0,,Exactly
action_ExpandZone,0,,Expand Zone
action_ShrinkZone,0,,Shrink Zone
date_time_details_title,0,,Date and Time details
date_time_details_info,0,,"The year is split into four seasons that last 12 days each.\n\n<b>Spring</b>\n - Moderate temperature. Rain and fog are frequent. Small chance of hailstorms.\n\n<b>Summer</b>\n - High temperatures. Chance of heatwaves. Build underground storage to keep your food fresh during the hot summer days.\n\n<b>Autumn</b>\n - Moderate temperature. Rain and fog are frequent. Chance of thunderstorms and hailstorms.\n\n<b>Winter</b>\n - Low temperatures. High chance of snowfall and blizzards. Chance of cold snaps. Vegetation will not grow in low temperatures, so ensure that you sow and harvest as much as you can before winter starts."
general_minute_short,0,,m
general_hour_short,0,,h
general_day_short,0,,d
general_year_short,0,,y
hud_lb_takePhoto,0,,Take screenshot
hud_info_takePhoto,0,,Take screenshot and save to hard drive
hud_lb_toggleUi,0,,Toggle UI
hud_info_toggleUi,0,,Show/Hide User Interface elements on this screen
hud_lb_PhotoMode,0,,Screenshot Mode
hud_info_PhotoMode,0,,Toggle Screenshot Mode view.
photo_save_location,0,,Screenshot saved to
add_new,0,,Add new
add_conditions,0,,Add conditions
general_see_also,0,,See also
almanac_group_name_Equipment,0,,Equipment
plant_sow_time,0,,Sow time
plant_grows_on,0,,Grows on
plant_cultivable,0,,Cultivable
related_topics,0,,Related topics
healing_multiplier,0,,Wound tending multiplier
effector_on_use,0,,Modifiers when used
effector_proximity,0,,Object with a modifier effect is nearby.
effector_on_equip,0,,Modifiers when equipped
unit_suffix_meters_per_second,0,,m/s
unit_suffix_percent,0,,%
unit_suffix_per_hour,0,,/h
unit_suffix_times,0,,x
unit_suffix_per_second,0,,/s
unit_suffix_hour,0,,h
unit_suffix_second,0,,s
attribute_group_General,0,,General
attribute_group_Jobs,0,,Job related
attribute_group_Combat,0,,Combat related
expires_in,0,,Expires in
starting_conditions,0,,Starting conditions
village_name,0,,Settlement name
settlement_name,0,,Settlement name
settlement_lb,0,,Settlement
AllLayers_apply_order,0,,All layers
SingleLayer_apply_order,0,,Single layer
allbuildings_deconstruct,0,,Select all buildings
floors_deconstruct,0,,Select floors only
walls_deconstruct,0,,Select walls only
roofs_deconstruct,0,,Select roofs only
workbenchfurniture_deconstruct,0,,Select workbenches/furniture only
general_imminent,0,,Imminent
menu_modifiers,0,,Modifiers
reserved_by,0,,Reserved by
general_miss,0,,Miss
general_search,0,,Search
scenario_edit_clothes_title,0,,Default Clothes
scenario_edit_clothes_info,0,,Set of randomised clothing equipped on settlers at game start. 
general_evade,0,,Evade
report_bug_quitting,0,,"Fatal Error!
We apologize for this. Please wait while log is sent to the developers. We strongly advise you to restart the application.
If problems  persist,  please quit and start a new game. "
report_bug_connection_error,0,,"Connection error! 
We're sorry but your lovingly-crafted report could not be sent. 
Please try again, or use our Discord server to send your feedback or report a bug.  "
menu_sending,0,,Sending
menu_auto_close,0,,Auto-close in
general_unlock,0,,Unlock
scenario_edit_add_contition,0,,Add conditions
general_enter_text,0,,Enter text
general_required_fields_info,0,,Required fields
general_required_fields_symbol,0,,*
scenario_condition_Resources,0,,Resources
scenario_condition_Equipment,0,,Equipment
scenario_condition_VillagerConstraints,0,,Settler Constraints
scenario_condition_VillagerStats,0,,Settler Stats
scenario_condition_VillagerPerks,0,,Settler Perks
scenario_condition_VillagerClothes,0,,Settler Clothes
scenario_condition_Technology,0,,Research Items
villager_constraint_NumberOfVillagers,0,,Number of Settlers
villager_constraint_Age,0,,Age
villager_constraint_Height,0,,Height
villager_constraint_Weight,0,,Weight
villager_constraint_ForceGender,0,,Force Body Type
villager_constraint_ForceReligion,0,,Force Religion
villager_constraint_DefaultClothes,0,,Default Clothes
villager_constraint_OverrideStats,0,,Override Stats
villager_constraint_ForcedPerks,0,,Forced Perks
general_kg,0,,kg
general_cm,0,,cm
general_response,0,,Response
running_away,0,,Running away
edit_Stimulants_profiles,0,,Edit Stimulant Profiles
current_phase,0,,Current growth phase
general_category,0,,Category
report_category_bug,0,,Bug report
report_category_feedback,0,,Feedback
report_category_suggestion,0,,Suggestion
general_enter_message,0,,Enter message
general_enter_subject,0,,Enter subject
general_submit,0,,Submit
report_message_lenght_warning,0,,Message has to be at least 10 characters long
report_title_lenght_warning,0,,Title has to be at least 4 characters long
report_english_please,0,,"We are a small  team and currently have capacity to process only reports written in English. However, every report is valuable as we can look into your save and understand what went wrong. "
unit_suffix_meter,0,,m
general_priority,0,,Priority
report_priority_low,0,,Low
report_priority_medium,0,,Medium
report_priority_high,0,,High
general_age_short,0,,y
structure_change_state,0,,A settler assigned as a steward will change the state of this structure to
door_broken,0,,This structure is broken and its status cannot be changed until it is repaired to 80% of max HP.
general_relevant_skills,0,,Relevant Skills
general_job_type,0,,Job Type
jobs_highest_priority,0,, << Highest Priority
jobs_lowest_priority,0,,Lowest Priority >>
jobs_first_done,0,,Priority 1 is done first
jobs_last_done,0,,Priority 5 is done last
save_made_with_old_version,0,,This save was made with an older version of the game.
is_on_stockpile,0,,On stockpile:
delete_file_failed,0,,Cannot delete file {0}
general_goto_layer,0,,Go to Layer
menu_action_scroll_wheel_layer,0,,While holding [<style=Shortcut>Ctrl</style>]\n Use <style=Shortcut>Mouse wheel</style> to move rapidly through <style=DefaultBlue>layers</style>
menu_action_click_layer,0,,"<sprite=""ctrl_left_click"" index=t> on any object or the ground \n to jump to that <style=DefaultBlue>layer.</style>"
general_select_next,0,,Select next
menu_produced_in,0,,Produced in
menu_source,0,,Source
general_copy_settings,0,,Copy Settings
general_paste_settings,0,,Paste Settings
plant_dying,0,,Plant Dying
trade_buy,0,,Acquire
trade_sell,0,,Proffer
trade_message_cant_continue,0,,This transaction is unacceptable. The merchant demands more goods in return for the goods offered
trade_balance_title,0,,Bartering Balance
