ID,Text,Comment
Experimental.WelcomeText,"Phiên bản Timberborn này cho phép bạn trải nghiệm các tính năng thử nghiệm chưa hoàn thiện. Do đó, nó cũng dễ gặp các lỗi nghiêm trọng hơn. Bạn đúng là một chú hải ly dũng cảm!

Các bản lưu trong Chế độ Thử nghiệm được lưu riêng biệt với bản game chính. Các bản cập nhật có thể làm mất tính tương thích của bản lưu.

Trong Chế độ Thử nghiệm này, <RedHighlight>nhiều phần của trò chơi chưa được dịch và sẽ hiển thị bằng tiếng Anh</RedHighlight>, bất kể lựa chọn ngôn ngữ của bạn. Điều này giúp chúng tôi thêm nội dung mới và thực hiện điều chỉnh nhanh chóng mà không cần chờ đợi quá trình dịch thuật tốn thời gian.

Chúng tôi khuyên bạn nên tham gia máy chủ Discord chính thức của chúng tôi để thảo luận về các nội dung mới.",Welcome text that is shown to players of the experimental versions of the game.
Explosions.BlownInExplosionMessage,{0} đã bị nổ tung.,{0} stands for character name. Notification that shows when a character (Beaver/Bot) is killed/destroyed by an explosion (another bot or dynamite)
Faction.Folktails.Description,"Dễ tính nhưng vô cùng chăm chỉ, Đuôi Bông là những nông dân bậc thầy. Họ tôn trọng thiên nhiên và thiên nhiên ban tặng cho họ vụ mùa bội thu.
Khẩu hiệu của họ: <i>Thoải mái, thức ăn ngon và gỗ vững bền.</i>",Description of a beaver faction
Faction.Folktails.DisplayName,Đuôi Bông,Name of a faction
Faction.Folktails.GameOver.Flavor,"Khi bạn không biết trân trọng món quà của thiên nhiên, nó sẽ đòi lại tất cả.",Flavor text of the game over panel
Faction.Folktails.GameOver.Message,Cộng đồng Đuôi Bông của bạn đã chịu chung số phận bi thương như loài người tiền nhiệm. Đây là kết cục.,Text of the game over panel
Faction.Folktails.WonderCompletionFlavor,"Tích lũy được nguồn tài sản và tri thức to lớn, những chú hải ly của bạn đã chia sẻ thành quả lao động với hành tinh đang kiệt quệ. Vẫn còn nhiều việc phải làm, nhưng Trái Đất có thể sẽ hồi sinh một lần nữa.",Flavor text shown when the player has mastered a map with the Folktails faction. Mastery means building and activating a Wonder.
Faction.Folktails.WonderCompletionMessage,Xin chúc mừng! Bạn đã làm chủ lối sống hòa hợp với thiên nhiên của Đuôi Bông và sử dụng tài nguyên của bản đồ này để xây dựng kỳ quan cho phe phái.,A message that is shown when the player has mastered a map with the Folktails faction. Mastery means building and activating a Wonder.
Faction.IronTeeth.Description,"Tách khỏi lối sống dựa vào gỗ truyền thống, họ làm chủ sắt thép và khoa học để chế tạo máy móc tân tiến.
Họ đạt được tiến bộ nhờ sự khéo léo, hiệu quả và bất chấp môi trường.
Khẩu hiệu của họ: <i>Làm hết sức, làm hết mình.</i>",Description of a beaver faction
Faction.IronTeeth.DisplayName,Răng Sắt,Name of a faction
Faction.IronTeeth.GameOver.Flavor,"Đôi khi, chỉ một linh kiện bị lỗi nhỏ nhất cũng làm hỏng cả cỗ máy.",Flavor text of the game over panel
Faction.IronTeeth.GameOver.Message,Khu định cư Răng Sắt của bạn đã sụp đổ mà không còn cơ hội phục hồi. Đây là kết cục.,Text of the game over panel
Faction.IronTeeth.WonderCompletionFlavor,"Những nhà tiên phong của bạn đã cất cánh bay qua vùng đất hoang tàn, để lại khu định cư phồn vinh phía sau. Để Trái Đất có thể phục hồi, sự thịnh vượng mới tìm thấy của loài hải ly cần phải được chia sẻ.",Flavor text shown when the player has mastered a map with the Folktails faction. Mastery means building and activating a Wonder.
Faction.IronTeeth.WonderCompletionMessage,Làm tốt lắm! Năng lực công nghệ vượt trội đã giúp bạn khai thác tối đa sức mạnh công nghiệp của Răng Sắt để chinh phục bản đồ này và xây dựng kỳ quan cho phe phái.,A message that is shown when the player has mastered a map with the Iron Teeth faction. Mastery means building and activating a Wonder.
FactionSelection.Header,Chọn phe phái,
FactionSelection.NewFactionUnlocked,Mở khóa phe phái mới:,Followed by the name of a faction in new line
FactionSelection.WellbeingCondition,"Để mở khóa, hãy đạt mức phúc lợi trung bình là {0} khi chơi phe {1}.",{0} stands for a number {1} stand for Faction.DisplayName
Fields.Harvesting,Thu hoạch,Preceded by Fields.PriorityAction
Fields.Planting,Gieo trồng,Preceded by Fields.PriorityAction
Fields.PriorityAction,Hành động ưu tiên,Which of the actions is prioritized.
FileBrowser.Header,Chọn tệp,Header of the file browser window.
FileBrowser.NoPermission,Bạn không có quyền truy cập vào thư mục này.,Shown in the file browser when the user doesn't have permission to access the selected folder.
FileBrowser.Open,Mở,Label of the button that opens currently selected folder or loads currently selected file.
Fireworks.Type.CometBlue,Sao chổi (xanh dương),"Name of a firework type, resembling a comet in blue color. Please keep short."
Fireworks.Type.CometRed,Sao chổi (đỏ),"Name of a firework type, resembling a comet in red color. Please keep short."
Fireworks.Type.CometWhite,Sao chổi (trắng),"Name of a firework type, resembling a comet in white color. Please keep short."
Fireworks.Type.Fish,Đàn cá,"Name of a firework type, resembling a group of fish. Please keep short."
Fireworks.Type.KamuroBlue,Cúc rủ (xanh dương),"Name of a firework type, one of most popular firework styles, in blue color. Please keep short."
Fireworks.Type.KamuroOrange,Cúc rủ (cam),"Name of a firework type, one of most popular firework styles, in orange color. Please keep short."
Fireworks.Type.KamuroPink,Cúc rủ (hồng),"Name of a firework type, one of most popular firework styles, in pink color. Please keep short."
Fireworks.Type.KamuroRed,Cúc rủ (đỏ),"Name of a firework type, one of most popular firework styles, in red color. Please keep short."
Fireworks.Type.KamuroWhite,Cúc rủ (trắng),"Name of a firework type, one of most popular firework styles, in white color. Please keep short."
Fireworks.Type.PalmBlue,Lá dừa (xanh dương),"Name of a firework type, resembling a palm tree leaves, in blue color. Please keep short."
Fireworks.Type.PalmGold,Lá dừa (vàng kim),"Name of a firework type, resembling a palm tree leaves, in gold color. Please keep short."
Fireworks.Type.PalmGreen,Lá dừa (xanh lá),"Name of a firework type, resembling a palm tree leaves, in green color. Please keep short."
Fireworks.Type.PeonyRedBlue,Mẫu đơn (đỏ & xanh),"Name of a firework type, resembling a peony flower shape, in red and blue colors. Please keep short."
Fireworks.Type.PeonyViolet,Mẫu đơn (tím),"Name of a firework type, resembling a peony flower shape, in violet color. Please keep short."
Fireworks.Type.PeonyYellowGreen,Mẫu đơn (vàng & xanh),"Name of a firework type, resembling a peony flower shape, in yellow and green colors. Please keep short."
Fireworks.Type.Sparks,Tia lửa,"Name of a firework type, resembling sparks flying around. Please keep short."
Fireworks.Type.Willow,Cành liễu,"Name of a firework type, resembling willow tree leaves. Please keep short."
FlexibleStart.ChooseStartLocation,Chọn vị trí xuất phát,Text shown when the player is choosing a new starting location.
FlexibleStart.Relocate,Đổi vị trí xuất phát,Label of a button for changing the starting location.
FlexibleStart.ResetStartLocation,Đặt lại về mặc định,Label of a button for bringing back the initial starting location.
FlexibleStart.Start,Bắt đầu!,Label of a button for confirming a start location on map and starting a new game.
FlexibleStart.Unlocked,Đã mở khóa xuất phát linh hoạt,Flexible start means that player can choose any starting location on the map
GameExitPanel.Exit,Thoát,A button please keep short
GameExitPanel.Message,"Trước khi rời đi, hãy giúp chúng tôi cải thiện trò chơi bằng cách chia sẻ ý kiến đóng góp của bạn.",
GameExitPanel.ShareFeedback,Gửi góp ý,A button please keep short
GameExitPanel.Title,Cảm ơn bạn đã chơi Timberborn!,Message shown in popup box shortly before the game is closed.
GameOver.Continue,Nhìn lại một lần cuối...,Text on continue button in game over panel
GameOver.Exit,Thoát ra menu chính,Text on finish button in game over panel
GameOver.Header,Kết thúc,Header of the game over panel
GameUI.ShowDistrictList,Hiện/ẩn danh sách khu vực,Shown in tooltip over districts in main game hud
Gathering.Action,Thu thập:,"Followed by a list of goods, like Gathers: Berries"
Gathering.Nothing,Không có gì,Nothing is prioritized to be gathered.
Gathering.Prioritize,Ưu tiên,Which resource is prioritized to be gathered.
Goals.NotEligible,không khả dụng khi chơi phe này!,Preceded by Goals.Progress
Goals.Progress,Tiến độ:,
Goals.Unlocked,đã mở khóa!,Preceded by Goals.Progress
Good.Algae.DisplayName,Tảo,"Algae that's been cultivated in the Hydroponic Garden, it's processed into an edible ration. It doesn't specifically represent any specific algae kind."
Good.Algae.PluralDisplayName,Tảo,"Algae that's been cultivated in the Hydroponic Garden, it's processed into an edible ration. It doesn't specifically represent any specific algae kind."
Good.AlgaeRation.DisplayName,Khẩu phần tảo,"Algae should be the same as in Good.Algae.DisplayName. Ration should be consistent between Good.AlgaeRation.DisplayName, Good.CornRation.DisplayName, Good.EggplantRation.DisplayName and Building.FoodFactory.Description"
Good.AlgaeRation.PluralDisplayName,Khẩu phần tảo,Algae should be the same as in Good.Algae.DisplayName
Good.Antidote.DisplayName,Thuốc giải độc,Antidote made out of natural resources (used to heal badwater contamination).
Good.Antidote.PluralDisplayName,Thuốc giải độc,Antidote made out of natural resources (used to heal badwater contamination).
Good.Badwater.DisplayName,Nước bẩn,"A toxic liquid resource, a remnant of human civilization that contaminates the land, plants, and beavers. It flows on the maps in the form of toxic rivers. The name comes from 'bad' and 'water' and it does not refer to any actual resource or place in the real world, it is a name that beavers came up with. Please note that this term is very important because it is one of the core aspects of the game, the resource is as abundant in the game as normal water. If you have any doubts about the meaning of the word, please contact the developers."
Good.Badwater.PluralDisplayName,Nước bẩn,"A toxic liquid resource, a remnant of human civilization that contaminates the land, plants, and beavers. It flows on the maps in the form of toxic rivers. The name comes from 'bad' and 'water' and it does not refer to any actual resource or place in the real world, it is a name that beavers came up with. Please note that this term is very important because it is one of the core aspects of the game, the resource is as abundant in the game as normal water. If you have any doubts about the meaning of the word, please contact the developers."
Good.Berries.DisplayName,Quả mọng,Resource name
Good.Berries.PluralDisplayName,Quả mọng,Resource name
Good.Biofuel.DisplayName,Nhiên liệu sinh học,Fuel made out of natural resources like plants.
Good.Biofuel.PluralDisplayName,Nhiên liệu sinh học,Fuel made out of natural resources like plants.
Good.Book.DisplayName,Sách,A name of a good.
Good.Book.PluralDisplayName,Sách,A name of a good.
Good.BotChassis.DisplayName,Khung máy thợ máy,A big bot part that holds most of the machinery inside. Bot should be the same as Bot.TemplateName.
Good.BotChassis.PluralDisplayName,Khung máy thợ máy,A big bot part that holds most of the machinery inside. Bot should be the same as Bot.TemplateName.
Good.BotHead.DisplayName,Đầu thợ máy,A head of a bot. Bot should be the same as Bot.TemplateName.
Good.BotHead.PluralDisplayName,Đầu thợ máy,A head of a bot. Bot should be the same as Bot.TemplateName.
Good.BotLimb.DisplayName,Chi thợ máy,An unspecified limb of a bot. Bot should be the same as Bot.TemplateName.
Good.BotLimb.PluralDisplayName,Chi thợ máy,An unspecified limb of a bot. Bot should be the same as Bot.TemplateName.
Good.Bread.DisplayName,Bánh mì,A name of a good.
Good.Bread.PluralDisplayName,Bánh mì,A name of a good.
Good.CanolaOil.DisplayName,Dầu cải,Canola should be the same as in Good.CanolaSeeds.DisplayName.
Good.CanolaOil.PluralDisplayName,Dầu cải,Canola should be the same as in Good.CanolaSeeds.DisplayName.
Good.CanolaSeeds.DisplayName,Hạt cải,An oil crop that grows tall and is full of yellow flowers.
Good.CanolaSeeds.PluralDisplayName,Hạt cải,An oil crop that grows tall and is full of yellow flowers.
Good.Carrot.DisplayName,Cà rốt,Resource name
Good.Carrot.PluralDisplayName,Cà rốt,Resource name
Good.Cassava.DisplayName,Sắn,"A root vegetable that's poisonous to eat raw, also known as manioc or yuca."
Good.Cassava.PluralDisplayName,Sắn,"A root vegetable that's poisonous to eat raw, also known as manioc or yuca."
Good.Catalyst.DisplayName,Chất xúc tác,"A potent Biofuel reagent, allowing bots to work and move faster."
Good.Catalyst.PluralDisplayName,Chất xúc tác,Plural form of Good.Catalyst.DisplayName
Good.CattailCracker.DisplayName,Bánh nướng bồn bồn,"Crackers made from flour made from roots of the plant of a genus Typha, keep plant name same as NaturalResource.Cattail.DisplayName"
Good.CattailCracker.PluralDisplayName,Bánh nướng bồn bồn,"Crackers made from flour made from roots of the plant of a genus Typha, keep plant name same as NaturalResource.Cattail.DisplayName"
Good.CattailFlour.DisplayName,Bột bồn bồn,"Flour made from roots of the plant of a genus Typha, keep plant name same as NaturalResource.Cattail.DisplayName"
Good.CattailFlour.PluralDisplayName,Bột bồn bồn,"Flour made from roots of the plant of a genus Typha, keep plant name same as NaturalResource.Cattail.DisplayName"
Good.CattailRoot.DisplayName,Rễ bồn bồn,"Root of plant of a genus Typha, keep plant name same as NaturalResource.Cattail.DisplayName"
Good.CattailRoot.PluralDisplayName,Rễ bồn bồn,"Root of plant of a genus Typha, keep plant name same as NaturalResource.Cattail.DisplayName"
Good.Chestnut.DisplayName,Hạt dẻ,"Fruit of a Aesculus hippocastanum tree, also known as conkers"
Good.Chestnut.PluralDisplayName,Hạt dẻ,"Fruit of a Aesculus hippocastanum tree, also known as conkers"
Good.Coffee.DisplayName,Cà phê,Brewed coffee.
Good.Coffee.PluralDisplayName,Cà phê,Brewed coffee.
Good.CoffeeBean.DisplayName,Hạt cà phê,Coffee beans used to brew Coffee.
Good.CoffeeBean.PluralDisplayName,Hạt cà phê,Coffee beans used to brew Coffee.
Good.Corn.DisplayName,Ngô,Ordinary yellow corn plant.
Good.Corn.PluralDisplayName,Ngô,Ordinary yellow corn plant.
Good.CornRation.DisplayName,Khẩu phần ngô,"Corn should be the same as Good.Corn.DisplayName. Ration should be consistent between Good.AlgaeRation.DisplayName, Good.CornRation.DisplayName, Good.EggplantRation.DisplayName and Building.FoodFactory.Description"
Good.CornRation.PluralDisplayName,Khẩu phần ngô,"Corn should be the same as Good.Corn.DisplayName. Ration should be consistent between Good.AlgaeRation.DisplayName, Good.CornRation.DisplayName, Good.EggplantRation.DisplayName and Building.FoodFactory.Description"
Good.Dandelion.DisplayName,Bồ công anh,Healing plant
Good.Dandelion.PluralDisplayName,Bồ công anh,Healing plant
Good.Dirt.DisplayName,Đất,A resource dug out from ground and used to create blocks of terrain
Good.Dirt.PluralDisplayName,Đất,Plural form of Good.Dirt.DisplayName
Good.Eggplant.DisplayName,Cà tím,"Ordinary deep purple eggplant, also known as aubergine."
Good.Eggplant.PluralDisplayName,Cà tím,"Ordinary deep purple eggplant, also known as aubergine."
Good.EggplantRation.DisplayName,Khẩu phần cà tím,"Eggplant should be the same as Good.Eggplant.DisplayName. Ration should be consistent between Good.AlgaeRation.DisplayName, Good.CornRation.DisplayName, Good.EggplantRation.DisplayName and Building.FoodFactory.Description"
Good.EggplantRation.PluralDisplayName,Khẩu phần cà tím,"Eggplant should be the same as Good.Eggplant.DisplayName. Ration should be consistent between Good.AlgaeRation.DisplayName, Good.CornRation.DisplayName, Good.EggplantRation.DisplayName and Building.FoodFactory.Description"
Good.Explosives.DisplayName,Thuốc nổ,A name of a good. Not to be confused with the Dynamite building.
Good.Explosives.PluralDisplayName,Thuốc nổ,A name of a good. Not to be confused with the Dynamite building.
Good.Extract.DisplayName,Chất chiết xuất,"A liquid good produced from badwater in centrifuges which is used for manufacturing advanced buildings, machines and dynamite. While raw badwater is dangerous, extract is a useful chemical."
Good.Extract.PluralDisplayName,Chất chiết xuất,"A liquid good produced from badwater in centrifuges which is used for manufacturing advanced buildings, machines and dynamite. While raw badwater is dangerous, extract is a useful chemical."
Good.FermentedCassava.DisplayName,Sắn lên men,"Cassava should be the same as Good.Cassava.DisplayName, fermented should be the same as in Building.Fermenter.DisplayName or Building.Fermenter.Description"
Good.FermentedCassava.PluralDisplayName,Sắn lên men,"Cassava should be the same as Good.Cassava.DisplayName, fermented should be the same as in Building.Fermenter.DisplayName or Building.Fermenter.Description"
Good.FermentedMushroom.DisplayName,Nấm lên men,"Mushroom should be the same as Good.Mushroom.DisplayName, fermented should be the same as in Building.Fermenter.DisplayName or Building.Fermenter.Description"
Good.FermentedMushroom.PluralDisplayName,Nấm lên men,"Mushroom should be the same as Good.Mushroom.DisplayName, fermented should be the same as in Building.Fermenter.DisplayName or Building.Fermenter.Description"
Good.FermentedSoybean.DisplayName,Đậu nành lên men,"Soybean should be the same as Good.Soybean.DisplayName, fermented should be the same as in Building.Fermenter.DisplayName or Building.Fermenter.Description"
Good.FermentedSoybean.PluralDisplayName,Đậu nành lên men,"Soybean should be the same as Good.Soybean.DisplayName, fermented should be the same as in Building.Fermenter.DisplayName or Building.Fermenter.Description"
Good.Fireworks.DisplayName,Pháo hoa,A name of a good used to supply Firework Launcher building.
Good.Fireworks.PluralDisplayName,Pháo hoa,"A name of a good used to supply Firework Launcher building, plural form."
Good.Flour.DisplayName,Bột mì,A name of a good.
Good.Flour.PluralDisplayName,Bột mì,A name of a good.
Good.Gear.DisplayName,Bánh răng,A name of a good.
Good.Gear.PluralDisplayName,Bánh răng,A name of a good.
Good.Grease.DisplayName,Mỡ bôi trơn,Grease is a good used as lubricant for IronTeeth faction bot machinery to increase their performance.
Good.Grease.PluralDisplayName,Mỡ bôi trơn,Grease is a good used as lubricant for IronTeeth faction bot machinery to increase their performance.
Good.GrilledChestnut.DisplayName,Hạt dẻ nướng,"Grilled fruit of a Aesculus hippocastanum tree, also known as conkers, keep plant name same as Good.Chestnut.DisplayName."
Good.GrilledChestnut.PluralDisplayName,Hạt dẻ nướng,"Grilled fruit of a Aesculus hippocastanum tree, also known as conkers, keep plant name same as Good.Chestnut.DisplayName."
Good.GrilledPotato.DisplayName,Khoai tây nướng,A name of a good.
Good.GrilledPotato.PluralDisplayName,Khoai tây nướng,A name of a good.
Good.GrilledSpadderdock.DisplayName,Rễ hoa súng nướng,"Grilled plant Nuphar Lutea, keep plant name same as NaturalResource.Spadderdock.DisplayName"
Good.GrilledSpadderdock.PluralDisplayName,Rễ hoa súng nướng,"Grilled plant Nuphar Lutea, keep plant name same as NaturalResource.Spadderdock.DisplayName"
Good.Kohlrabi.DisplayName,Su hào,"Also called German turnip or turnip cabbage, it's a big, round turnip plant."
Good.Kohlrabi.PluralDisplayName,Su hào,"Also called German turnip or turnip cabbage, it's a big, round turnip plant."
Good.Log.DisplayName,Gỗ khúc,A name of a good.
Good.Log.PluralDisplayName,Gỗ khúc,A name of a good.
Good.MangroveFruit.DisplayName,Quả đước,"Fruit of the mangrove tree, mangrove should be the same as in NaturalResource.Mangrove.DisplayName"
Good.MangroveFruit.PluralDisplayName,Quả đước,"Fruit of the mangrove tree, mangrove should be the same as in NaturalResource.Mangrove.DisplayName"
Good.MaplePastry.DisplayName,Bánh nướng phong,A baked good filled with maple syrup.
Good.MaplePastry.PluralDisplayName,Bánh nướng phong,A baked good filled with maple syrup.
Good.MapleSyrup.DisplayName,Siro phong,Sweet syrup created from maple sap
Good.MapleSyrup.PluralDisplayName,Siro phong,Sweet syrup created from maple sap
Good.MetalBlock.DisplayName,Khối kim loại,A name of a good.
Good.MetalBlock.PluralDisplayName,Khối kim loại,A name of a good.
Good.MetalPart.DisplayName,Linh kiện kim loại,
Good.MetalPart.PluralDisplayName,Linh kiện kim loại,
Good.Mushroom.DisplayName,Nấm,"Mushroom that's been cultivated in the Hydroponic Garden, it's processed into an edible ration. It doesn't specifically represent any specific mushroom, just the type of plant."
Good.Mushroom.PluralDisplayName,Nấm,"Mushroom that's been cultivated in the Hydroponic Garden, it's processed into an edible ration. It doesn't specifically represent any specific mushroom, just the type of plant."
Good.Paper.DisplayName,Giấy,A name of a good.
Good.Paper.PluralDisplayName,Giấy,A name of a good.
Good.PineResin.DisplayName,Nhựa thông,Also known as pine sap. Pine is the type of tree defined in NaturalResource.Pine.DisplayName.
Good.PineResin.PluralDisplayName,Nhựa thông,Also known as pine sap. Pine is the type of tree defined in NaturalResource.Pine.DisplayName.
Good.Plank.DisplayName,Ván gỗ,A name of a good.
Good.Plank.PluralDisplayName,Ván gỗ,A name of a good.
Good.Potato.DisplayName,Khoai tây,A name of a good.
Good.Potato.PluralDisplayName,Khoai tây,A name of a good.
Good.PunchCard.DisplayName,Thẻ đục lỗ,"Punch cards are goods used for increasing Folktails faction bot performance. They are similar in concept to old programming cards, where code was inputted into a machine through a card with a bunch of holes punched through it."
Good.PunchCard.PluralDisplayName,Thẻ đục lỗ,"Punch cards are goods used for increasing Folktails faction bot performance. They are similar in concept to old programming cards, where code was inputted into a machine through a card with a bunch of holes punched through it."
Good.ScrapMetal.DisplayName,Phế liệu kim loại,A name of a good.
Good.ScrapMetal.PluralDisplayName,Phế liệu kim loại,A name of a good.
Good.Soybean.DisplayName,Đậu nành,Soybeans can later be made into soy.
Good.Soybean.PluralDisplayName,Đậu nành,Soybeans can later be made into soy.
Good.Spadderdock.DisplayName,Cây súng vàng,A plant formally called Nuphar Lutea
Good.Spadderdock.PluralDisplayName,Cây súng vàng,A plant formally called Nuphar Lutea
Good.SunflowerSeeds.DisplayName,Hạt hướng dương,
Good.SunflowerSeeds.PluralDisplayName,Hạt hướng dương,
Good.TreatedPlank.DisplayName,Ván gỗ đã xử lý,Plank impregnated with resin. Use the same word for plank as in Good.Plank.
Good.TreatedPlank.PluralDisplayName,Ván gỗ đã xử lý,Plank impregnated with resin. Use the same word for plank as in Good.Plank.
Good.Water.DisplayName,Nước,A name of a good.
Good.Water.PluralDisplayName,Nước,A name of a good.
Good.Wheat.DisplayName,Lúa mì,A name of a good.
Good.Wheat.PluralDisplayName,Lúa mì,A name of a good.
Good.WheatFlour.DisplayName,Bột lúa mì,Flour made out of wheat. Use the same name for wheat as in Good.Wheat.
Good.WheatFlour.PluralDisplayName,Bột lúa mì,Flour made out of wheat. Use the same name for wheat as in Good.Wheat.
GoodConsuming.NeedsHaulers,<YellowHighlight>Yêu cầu thợ vận chuyển.</YellowHighlight>,"Information, that this building won't be operational without haulers. Haulers are the same as in Building.HaulingPost.Description"
GoodConsuming.SupplyDescription,Tiêu thụ: {0},{0} stands for good name and amount per hour.
GoodConsuming.SupplyRemaining,Nguồn cung sẽ đủ dùng trong {0} giờ,"{0} stands for hours. Describes a building which requires a certain goods to operate, such as water."
Goods.Amount,Số lượng,Header of a dropdown that allows to select a good. Please keep short.
